minute,reserve0,reserve1
2025-01-01 01:45:00.000 UTC,23469927640404,6995261122472920457034
2025-01-01 01:46:00.000 UTC,23469912158970,6995265750634654340843
2025-01-01 01:47:00.000 UTC,23466671449476,6996234692390194299051
2025-01-01 01:48:00.000 UTC,23466346995597,6996331715835943609086
2025-01-01 01:50:00.000 UTC,23464320636471,6996937731250914515381
2025-01-01 01:51:00.000 UTC,23457423269848,6999001285342121992691
2025-01-01 01:52:00.000 UTC,23443013928509,7003316194411019451139
2025-01-01 01:53:00.000 UTC,23442668711565,7003419725388260712548
2025-01-01 01:54:00.000 UTC,23442818711565,7003375048105510584090
2025-01-01 01:55:00.000 UTC,23441880706512,7003656214633867528454
2025-01-01 01:57:00.000 UTC,23441400124536,7003800231578560005284
2025-01-01 01:58:00.000 UTC,23440778622448,7003987020216888155874
2025-01-01 02:00:00.000 UTC,23440036881626,7004209471517222770683
2025-01-01 02:01:00.000 UTC,23439369595716,7004409471517222770683
2025-01-01 02:02:00.000 UTC,23440369595716,7004111549715761740287
2025-01-01 02:04:00.000 UTC,23440923288993,7003946603339105534695
2025-01-01 02:06:00.000 UTC,23439926887074,7004245317985212251390
2025-01-01 02:08:00.000 UTC,23439287451445,7004436972306704757436
2025-01-01 02:10:00.000 UTC,23439298451445,7004433695004675323066
2025-01-01 02:11:00.000 UTC,23439223396163,7004456191554430996469
2025-01-01 02:12:00.000 UTC,23438726144823,7004605326799438289140
2025-01-01 02:14:00.000 UTC,23437881870896,7004858404295312690346
2025-01-01 02:15:00.000 UTC,23432258358955,7006544560085982265378
2025-01-01 02:18:00.000 UTC,23432081642085,7006597560085982265378
2025-01-01 02:20:00.000 UTC,23432980811400,7006329509772603739365
2025-01-01 02:21:00.000 UTC,23432882485491,7006358997252884540143
2025-01-01 02:22:00.000 UTC,23433000311263,7006323873578208836477
2025-01-01 02:28:00.000 UTC,23433030714517,7006316390815086980865
2025-01-01 02:29:00.000 UTC,23433030614482,7006316420815086980865
2025-01-01 02:30:00.000 UTC,23433044114482,7006312396518646098701
2025-01-01 02:32:00.000 UTC,23433036738837,7006314608420302195526
2025-01-01 02:33:00.000 UTC,23432535488837,7006464932854765763023
2025-01-01 02:34:00.000 UTC,23422824238077,7009378726175466568061
2025-01-01 02:35:00.000 UTC,23420468623480,7010086005161391338328
2025-01-01 02:36:00.000 UTC,23421481260252,7009783834835643942203
2025-01-01 02:37:00.000 UTC,23423712729636,7009118744549460298268
2025-01-01 02:38:00.000 UTC,23428435603290,7007711835690769088392
2025-01-01 02:40:00.000 UTC,23428476937188,7007699539318476363685
2025-01-01 02:41:00.000 UTC,23428496937188,7007693575063511715612
2025-01-01 02:42:00.000 UTC,23428551623608,7007677406430612257797
2025-01-01 02:43:00.000 UTC,23431249752694,7006872886757619915306
2025-01-01 02:44:00.000 UTC,23431770433980,7006717652959997761744
2025-01-01 02:45:00.000 UTC,23432775942875,7006417920206402571217
2025-01-01 02:47:00.000 UTC,23432842467716,7006398088957186175554
2025-01-01 02:48:00.000 UTC,23433510770193,7006198872273638473851
2025-01-01 02:49:00.000 UTC,23433611570172,7006168853065435836923
2025-01-01 02:52:00.000 UTC,23450139554059,7001245614442622244914
2025-01-01 02:53:00.000 UTC,23450129830922,7001248526107109686159
2025-01-01 02:55:00.000 UTC,23452613868270,7000509584635164186292
2025-01-01 02:57:00.000 UTC,23454113868270,7000063212448549192609
2025-01-01 02:58:00.000 UTC,23454308990378,7000005151922297018251
2025-01-01 02:59:00.000 UTC,23454269148762,7000017078566171390452
2025-01-01 03:00:00.000 UTC,23454319148485,7000002200755470455815
2025-01-01 03:02:00.000 UTC,23454318045930,7000002530806269453205
2025-01-01 03:03:00.000 UTC,23455238045930,6999728788839345885635
2025-01-01 03:04:00.000 UTC,23455223617712,6999733107600653044451
2025-01-01 03:05:00.000 UTC,23455474476423,6999658472829278228886
2025-01-01 03:06:00.000 UTC,23455394144037,6999682518097645281756
2025-01-01 03:07:00.000 UTC,23455357012679,6999693632394048297121
2025-01-01 03:09:00.000 UTC,23458857012679,6998652428986325858018
2025-01-01 03:11:00.000 UTC,23458792591162,6998671706213386958643
2025-01-01 03:12:00.000 UTC,23461207774839,6997955216488089435009
2025-01-01 03:13:00.000 UTC,23461307774839,6997925478327254532505
2025-01-01 03:14:00.000 UTC,23461397871325,6997898685506123759451
2025-01-01 03:15:00.000 UTC,23461329513874,6997919136091137825872
2025-01-01 03:16:00.000 UTC,23461258072112,6997940509541005819526
2025-01-01 03:17:00.000 UTC,23461362121086,6997909567426457984858
2025-01-01 03:19:00.000 UTC,23462706867283,6997509969256118790909
2025-01-01 03:20:00.000 UTC,23461448582820,6997886389001260725048
2025-01-01 03:21:00.000 UTC,23461221825928,6997954228339375585115
2025-01-01 03:23:00.000 UTC,23461199771893,6997960826361737826219
2025-01-01 03:24:00.000 UTC,23461034773910,6998010190075226763048
2025-01-01 03:25:00.000 UTC,23461532432513,6997862287063779628867
2025-01-01 03:26:00.000 UTC,23461410873127,6997898653823486779253
2025-01-01 03:28:00.000 UTC,23461403146509,6997900965398374909594
2025-01-01 03:29:00.000 UTC,23461390550394,6997904733785554616121
2025-01-01 03:30:00.000 UTC,23461320336153,6997925739895264032234
2025-01-01 03:32:00.000 UTC,23461706420524,6997810938536830457510
2025-01-01 03:33:00.000 UTC,23461755946124,6997796211119324156884
2025-01-01 03:35:00.000 UTC,23462090233652,6997696923500097663426
2025-01-01 03:36:00.000 UTC,23461867852954,6997764166868793654356
2025-01-01 03:37:00.000 UTC,23462457155086,6997589193901440478174
2025-01-01 03:39:00.000 UTC,23462260585826,6997647996841279862878
2025-01-01 03:41:00.000 UTC,23460781300793,6998090550899908005898
2025-01-01 03:42:00.000 UTC,23460760208336,6998096861483051794745
2025-01-01 03:43:00.000 UTC,23458588695643,6998746609978476082298
2025-01-01 03:44:00.000 UTC,23456188844577,6999464820813854233336
2025-01-01 03:45:00.000 UTC,23456180782905,6999467233703729031428
2025-01-01 03:48:00.000 UTC,23455909997491,6999548281798346598594
2025-01-01 03:49:00.000 UTC,23455902998608,6999550376641210964664
2025-01-01 03:51:00.000 UTC,23455666289802,6999621226930407328613
2025-01-01 03:53:00.000 UTC,23455659165549,6999623359342305713269
2025-01-01 03:54:00.000 UTC,23453259117254,7000341858628499198853
2025-01-01 03:55:00.000 UTC,23453229592411,7000350697748682473692
2025-01-01 03:56:00.000 UTC,23453414279339,7000295765425447935828
2025-01-01 03:58:00.000 UTC,23453614279339,7000236249693897556927
2025-01-01 04:00:00.000 UTC,23453655844979,7000223899488204919105
2025-01-01 04:01:00.000 UTC,23453501129304,7000270216806477373548
2025-01-01 04:02:00.000 UTC,23453811723930,7000178848650279981704
2025-01-01 04:04:00.000 UTC,23454011723930,7000119334921261719993
2025-01-01 04:06:00.000 UTC,23454111723930,7000089578436990072118
2025-01-01 04:07:00.000 UTC,23453044622878,7000409056152111737450
2025-01-01 04:08:00.000 UTC,23452002300182,7000721125081769457887
2025-01-01 04:09:00.000 UTC,23452084832131,7000698369315443691023
2025-01-01 04:10:00.000 UTC,23451954013095,7000737537921979416247
2025-01-01 04:12:00.000 UTC,23457920889701,6998962194808336708781
2025-01-01 04:13:00.000 UTC,23457324684590,6999140619808336708781
2025-01-01 04:14:00.000 UTC,23457198217424,6999178468529905222734
2025-01-01 04:15:00.000 UTC,23450473684085,7001191555179477208164
2025-01-01 04:16:00.000 UTC,23448513082958,7001778707465743041941
2025-01-01 04:17:00.000 UTC,23446867408987,7002272497441721214007
2025-01-01 04:18:00.000 UTC,23446706936949,7002320566029525812366
2025-01-01 04:19:00.000 UTC,23446614751401,7002348201409963764128
2025-01-01 04:20:00.000 UTC,23446181679984,7002477930072459326987
2025-01-01 04:21:00.000 UTC,23444083509913,7003106515080316583158
2025-01-01 04:22:00.000 UTC,23443356681872,7003324289796377532135
2025-01-01 04:23:00.000 UTC,23443133535061,7003391152525933897238
2025-01-01 04:24:00.000 UTC,23443033414832,7003421152525933897238
